type,id,name,gender,person,description
relation,3011064,"Rue Vervloesem - Vervloesemstraat",M,"Jean-François Vervloesem","Instituteur communal pendant près de 50 ans (1850-1917)"
relation,3241581,"Rue Victor Lowet - Victor Lowetstraat",M,"Victor Lowet","Soldat au 8ème régiment de Ligne, mort pendant la Première Guerre mondiale (1881-1915)"
relation,3004965,"Rue Wayez - Wayezstraat",M,,"Administrateur de la Compagnie Immobilière d'Anderlecht, promoteur de la voie"
relation3022870,"Rue Sneessens - Sneessensstraat",?,"E. Sneessens","Membre du bureau de Bienfaisance"
way,132433013,"Impasse Ronsmans - Ronsmansgang",?,,
way,132433014,"Impasse Ronsmans - Ronsmansgang",?,,
way,132433015,"Impasse Ronsmans - Ronsmansgang",?,,
way,4730958,"Rue Capouillet - Capouilletstraat",?,,"Ancien(ne) propriétaire du terrain que la rue traverse"
way,23647092,"Rue Capouillet - Capouilletstraat",?,,"Ancien(ne) propriétaire du terrain que la rue traverse"
way,13768131,"Rue Crickx - Crickxstraat",?,,"Propriétaire des terrains sur lesquels cette rue fut tracée"
way,118566333,"Rue Van Gaver - Van Gaverstraat",?,,"Anciens propriétaires"
way,432775004,"Rue Van Gaver - Van Gaverstraat",?,,"Anciens propriétaires"
way,151162994,"Rue Vanden Corput - Vanden Corputstraat",?,,"Propriétaire des terrains à travers cette rue fut tracée à partir de 1905 environ"
way,23647145,"Avenue Juliette - Juliettelaan",F,,
way,915916792,"Clos Marie Koré - Maire Koréhoek",F,"Marie Koré","Figure de la lutte pour l'indépendance en Côte d'Ivoire"
way,915916793,"Clos Marie Koré - Maire Koréhoek",F,"Marie Koré","Figure de la lutte pour l'indépendance en Côte d'Ivoire"
way,14795061,"Avenue des Frères Goemaere - Gebroeders Goemaerelaan",M,,
way,458810331,"Avenue des Frères Goemaere - Gebroeders Goemaerelaan",M,,
way,8250579,"Avenue des Frères Legrain - Gebroeders Legrainlaan",M,,
way,35830442,"Avenue des Frères Legrain - Gebroeders Legrainlaan",M,,
way,863287984,"Avenue des Frères Legrain - Gebroeders Legrainlaan",M,,
way,15804085,"Avenue Van Bever - Van Beverlaan",M,"Jean Victor Van Bever","Notaire à Uccle Fort Jaco entre 1802 et 1822, propriétaire terrien et immobilier"
way,599481032,"Avenue Van Bever - Van Beverlaan",M,"Jean Victor Van Bever","Notaire à Uccle Fort Jaco entre 1802 et 1822, propriétaire terrien et immobilier"
way,115117025,"Impasse Madrille - Madrillegang",M,,"Propriétaire du terrain sur lequel cette venelle fut créée au 17ème siècle"
way,572851813,"Impasse Madrille - Madrillegang",M,,"Propriétaire du terrain sur lequel cette venelle fut créée au 17ème siècle"
way,243608671,"Rue Beeckman - Beeckmanstraat",M,"Baron de Beeckman","Président du groupe de propriétaires fonciers constructeurs de la rue dans le quartier du nouvel Uccle"
way,243608882,"Rue Beeckman - Beeckmanstraat",M,"Baron de Beeckman","Président du groupe de propriétaires fonciers constructeurs de la rue dans le quartier du nouvel Uccle"
way,244299516,"Rue Beeckman - Beeckmanstraat",M,"Baron de Beeckman","Président du groupe de propriétaires fonciers constructeurs de la rue dans le quartier du nouvel Uccle"
way,4426075,"Rue Blanche - Blanchestraat",M,,Avocat
way,210294010,"Rue Georges Huygens - Georges Huygensstraat",M,"Georges Huygens",
way,496191041,"Rue Georges Huygens - Georges Huygensstraat",M,"Georges Huygens",
way,14372823,"Rue Henri Maubel - Henri Maubelstraat",M,"Henri Maubel (pseudonyme de Marcel Belval)","Critique musical, un temps directeur du groupe La Jeune Belgique, qui habita la commune (1862-1917)"
way,14795587,"Rue Henri Van Antwerpen - Henri Van Antwerpenstraat",M,"Henri Van Antwerpen",
way,496191033,"Rue Henri Van Antwerpen - Henri Van Antwerpenstraat",M,"Henri Van Antwerpen",
way,36361070,"Rue Henri Ver Eycken - Henri Ver Eyckenstraat",M,"Henri Ver Eycken",
way,111513754,"Rue Henri Wafelaerts - Henri Wafelaertsstraat",M,"Henri Wafelaerts","Ancien conseiller communal à Saint-Gilles"
way,30087257,"Rue Henri-François Moreels - Henri-François Moreelsstraat",M,"Henri-François Moreels",
way,38966423,"Rue Hubert-Jean Coenen - Hubert-Jean Coenenstraat",M,"Hubert-Jean Coenen",
way,73335024,"Rue J. B. Moyens - J. B. Moyensstraat",M,"Jean-Baptiste Moyens","Inspirateur de l'ancienne foire Sainte-Anne dans le quartier de Dieleghem"
way,73335043,"Rue J. B. Moyens - J. B. Moyensstraat",M,"Jean-Baptiste Moyens","Inspirateur de l'ancienne foire Sainte-Anne dans le quartier de Dieleghem"
way,14372813,"Rue Joseph Bens - Joseph Bensstraat",M,"Joseph Bens","Ancien directeur de l'école de Saint-Job, premier titulaire d'un diplôme officiel (1837–1910)"
way,33277981,"Rue Joseph Bens - Joseph Bensstraat",M,"Joseph Bens","Ancien directeur de l'école de Saint-Job, premier titulaire d'un diplôme officiel (1837–1910)"
way,243609002,"Rue Joseph Bens - Joseph Bensstraat",M,"Joseph Bens","Ancien directeur de l'école de Saint-Job, premier titulaire d'un diplôme officiel (1837–1910)"
way,243609005,"Rue Joseph Bens - Joseph Bensstraat",M,"Joseph Bens","Ancien directeur de l'école de Saint-Job, premier titulaire d'un diplôme officiel (1837–1910)"
way,13520421,"Rue Jules Cockx - Jules Cockxstraat",M,"Jules Cockx","Combattant, originaire d'Auderghem, mort au champ d'honneur durant la première Guerre mondiale"
way,31428753,"Rue Jules Cockx - Jules Cockxstraat",M,"Jules Cockx","Combattant, originaire d'Auderghem, mort au champ d'honneur durant la première Guerre mondiale"
way,40146481,"Rue Jules Cockx - Jules Cockxstraat",M,"Jules Cockx","Combattant, originaire d'Auderghem, mort au champ d'honneur durant la première Guerre mondiale"
way,40747116,"Rue Jules Cockx - Jules Cockxstraat",M,"Jules Cockx","Combattant, originaire d'Auderghem, mort au champ d'honneur durant la première Guerre mondiale"
way,136962766,"Rue Jules Cockx - Jules Cockxstraat",M,"Jules Cockx","Combattant, originaire d'Auderghem, mort au champ d'honneur durant la première Guerre mondiale"
way,136962767,"Rue Jules Cockx - Jules Cockxstraat",M,"Jules Cockx","Combattant, originaire d'Auderghem, mort au champ d'honneur durant la première Guerre mondiale"
